channel_slug: vendor-youtube
captured_at: 2026-05-06
captured_by: claude-code-subagent

# Evidence entries
# Format:
#   ID | type | vendor_slug_or_NA | url | accessed_iso | quote_or_observation | confidence (high/med/low)

E-VY-001 | rss_feed | peptide-sciences | https://www.youtube.com/feeds/videos.xml?channel_id=UCCtUy2rCuK04YdAjN9mrQ5g | 2026-05-06 | YouTube channel RSS for "Peptide Sciences" (channel ID UCCtUy2rCuK04YdAjN9mrQ5g). 15-entry rolling window returns 14 uploads between 2025-10-23 and 2025-11-07 (16-day burst) plus 1 single 2026 upload on 2026-01-21. Last upload 2026-01-21 = ~3.5 months prior to access date. All RSS-window titles match "What is X and How Does It Work?" or "X vs Y: A Comprehensive Analysis" patterns. View counts on RSS-window videos: 695 (most recent) up to 2,718 (highest). Raw artifact: 03_raw_fetches/vendor-youtube/peptide-sciences__channel-rss.md | high

E-VY-002 | channel_page | peptide-sciences | https://www.youtube.com/@Peptide.Sciences | 2026-05-06 | Channel page (extracted via r.jina.ai text-reader proxy because YouTube channel pages are JS-rendered and WebFetch returns only footer chrome). Verbatim About description: "Peptide Sciences™ specializes in the synthesis of highly purified peptides, proteins and amino acid derivatives for scientific research and development." Subscriber count: "1.64K". Total video count: "25 videos". Channel handle: @Peptide.Sciences (note dot-separator). Website link in channel header: peptidesciences.com/all-peptides. Raw artifact: 03_raw_fetches/vendor-youtube/peptide-sciences__channel-page.md | high

E-VY-003 | video_description | peptide-sciences | https://www.youtube.com/watch?v=LAQHCYJ4-8k | 2026-05-06 | Representative explainer video "What is Humanin and How Does It Work?" Verbatim disclaimer (end of description): "ALL ARTICLES AND PRODUCT INFORMATION PROVIDED IN THIS VIDEO OR WEBSITE ARE FOR INFORMATIONAL AND EDUCATIONAL PURPOSES ONLY. The products offered on this website are furnished for in-vitro studies only. In-vitro studies (Latin: in glass) are performed outside of the body. These products are not medicines or drugs and have not been approved by the FDA to prevent, treat or cure any medical condition, ailment or disease. Bodily introduction of any kind into humans or animals is strictly forbidden by law." Same disclaimer block confirmed verbatim on videos LwixaMgqfJ4 (5-Amino-1MQ), L-vw-xvGJAk (AOD-9604), O7Dg9TU1muQ (CJC-1295/Ipamorelin Blend) — i.e. boilerplate across the corpus. View count: 2,242. Like count: 43. Comments: 0 on this video. Age restriction: none. Pinned comment: none. Direct product link in description: https://www.peptidesciences.com/humanin-10mg | high

E-VY-004 | video_description | peptide-sciences | https://www.youtube.com/watch?v=LwixaMgqfJ4 | 2026-05-06 | Most recent Peptide Sciences video (2026-01-21). 695 views. 2 comments visible — Jina extraction reports both comments "express concern or confusion, with users asking what happened to the channel." This corroborates the broader "brand activity ceased" signal. Same boilerplate disclaimer block as E-VY-003. Raw artifact: 03_raw_fetches/vendor-youtube/peptide-sciences__video-5amino1mq.md | high

E-VY-005 | brand_status | peptide-sciences | https://adaptpeptides.com/peptide-sciences-shut-down/ | 2026-05-06 | Direct WebFetch returned HTTP 403 (anti-bot). Title from search-result index: "What Happened to Peptide Sciences? | Trusted Alternative 2026". Search-result snippet (verbatim from WebSearch return): "Social media activity from the brand has ceased, and no official announcement has been made explaining the closure, according to recent reports." Triangulated with E-VY-001 cadence break (no uploads after 2026-01-21) and E-VY-004 commenter behavior. Note: source has commercial bias (adaptpeptides.com is itself a peptide vendor positioning as "trusted alternative"). | med

E-VY-006 | rss_feed | amino-asylum | https://www.youtube.com/feeds/videos.xml?channel_id=UCMqM-mwKh3oZPlXqIcrCJZQ | 2026-05-06 | YouTube channel RSS for "Amino Asylum" (channel ID UCMqM-mwKh3oZPlXqIcrCJZQ). 15-entry rolling window. Last upload 2025-04-04 = ~13 months prior to access date — channel went dark April 2025. Mix of 9 Shorts and 4 long-form videos in the 15-entry window; all 4 most-recent uploads (post-2024-12-30) are Shorts. Titles include: "Why wait to get SHREDDED" (gEVqNv9D1Qo), "Injectable Pre-Workouts Are The Future" (FL-UNzXVkl4), "TB500 and BPC-157 for healing injuries" (EEoAU7h37Dk), "Recovering from knee surgery" (7qVkAabIYQk). Raw artifact: 03_raw_fetches/vendor-youtube/amino-asylum__channel-rss.md | high

E-VY-007 | channel_page | amino-asylum | https://www.youtube.com/channel/UCMqM-mwKh3oZPlXqIcrCJZQ | 2026-05-06 | Channel page via r.jina.ai. Channel name: "Amino Asylum". Handle as displayed: "@AminoaSylums" (note unusual capitalization — diverges from website spelling). Subscriber count: 181. Video count: 19. Verbatim About description: "Premium Research. The Highest Quality Research Materials On The Market". Channel-header contact link: t.me/aminoasylums (Telegram). Long-form video view counts: 1.2K, 782, 514, 126. Raw artifact: 03_raw_fetches/vendor-youtube/amino-asylum__channel-page.md | high

E-VY-008 | video_description | amino-asylum | https://www.youtube.com/watch?v=WRKTi9QDsuk | 2026-05-06 | Representative long-form Amino Asylum video "4 Recommended and Tested Products from Amino Asylum". Verbatim description field: "No description has been added to this video." Verbatim age-restriction notice: "Age-restricted video (requested by uploader)". Hashtags only: #massagetherapy #killit #neverquit. View count: 1,257. Pattern repeats verbatim on Amino Asylum videos fQC7CWIlQOc ((Amino How To) L-carnitine — age-restricted, no description) and EEoAU7h37Dk (TB500 and BPC-157 for healing injuries — age-restricted, no description). Raw artifact: 03_raw_fetches/vendor-youtube/amino-asylum__video-4recommended.md | high

E-VY-009 | channel_page | limitless-life-nootropics | https://www.youtube.com/@LimitlessBiotech | 2026-05-06 | Channel "Limitless Biotech" (note the brand-name disjuncture: consumer storefront is "Limitless Life Nootropics" but YouTube handle is "@LimitlessBiotech"). Subscriber count: 4. Video count: 4. Verbatim About: "an educational channel focused on research peptides and molecular science." Channel-header website: limitlesslifenootropics.com/YouTube. Recent videos with view counts: "LL-37 Explained: Molecular Structure & Immune Research Breakdown 🧬" (73 views); "Peptide Research You NEED to Know About" (44 views); "MOTS-c & HUMANIN" (1.4K); "February 3, 2026" (3.3K). Cross-checked via Google search snippet: "The channel currently has 4 videos and 4 subscribers according to the search results." Raw artifact: 03_raw_fetches/vendor-youtube/limitless-biotech__channel-page.md | high

E-VY-010 | site_footer | limitless-life-nootropics | https://limitlesslifenootropics.com/ | 2026-05-06 | Direct WebFetch of vendor homepage. Verbatim summary of finding: "No YouTube links found. No social media links found." Despite vendor operating a YouTube channel under alt-brand "Limitless Biotech" (E-VY-009), the consumer-facing storefront does NOT link to YouTube anywhere on the homepage. This is meaningful absence: vendor either does not consider YouTube a customer-acquisition channel, or deliberately decouples consumer storefront from YouTube discoverability. Raw artifact: 03_raw_fetches/vendor-youtube/absent-vendors__site-fetches.md | high

E-VY-011 | channel_page | nationwide-peptides | https://www.youtube.com/@NationwidePeptides | 2026-05-06 | Posture-reference vendor channel. Channel name: "Nationwide Peptides". Handle: @NationwidePeptides. Subscriber count: 3. Video count: 2. Both videos are Shorts posted on the same day, 2026-01-13 (4 views and 2 views). Verbatim About: vendor "drives groundbreaking biotech discoveries" through "AI-powered peptide innovation, delivering high-quality, reliable solutions with unwavering integrity." Channel-header has a Facebook link plus "4 more links" (not enumerated in extraction). Raw artifact: 03_raw_fetches/vendor-youtube/nationwide-peptides__channel-page.md | high

E-VY-012 | site_footer | nationwide-peptides | https://www.nationwidepeptides.com/ | 2026-05-06 | Vendor website social-nav (NOT footer): YouTube link present at https://www.youtube.com/@NationwidePeptides; Facebook https://www.facebook.com/nationwidepeptides; Instagram https://www.instagram.com/nationwidepeptides/; LinkedIn https://www.linkedin.com/company/nationwide-peptides/; X https://x.com/nationwidepep; TikTok https://www.tiktok.com/@nationwidepeptides. Confirmed via parallel WebFetch of /about-us page (same link set). Note from WebFetch: "The YouTube link appears in the social navigation section at the top of the page. There is no YouTube link in the footer." | high

E-VY-013 | rss_feed | behemoth-labz | https://www.youtube.com/feeds/videos.xml?channel_id=UCXlqKTKeNiUAYipZdBZFkdA | 2026-05-06 | Two distinct YouTube channels in YouTube namespace under "Behemoth Labz" — both empty. Channel A (UCXlqKTKeNiUAYipZdBZFkdA): RSS reports channel published 2022-05-17, 0 video entries, Jina-rendered page returns "This channel doesn't have any content". Channel B (UCQwocryfKf0wN2Oy5wQtpCQ): RSS reports channel published 2022-05-14, 0 video entries, Jina-rendered page returns "This channel doesn't have any content". Conclusion: vendor reserved 2 YouTube handles in mid-2022 but never uploaded. Raw artifact: 03_raw_fetches/vendor-youtube/behemoth-labz__rss-and-channel.md | high

E-VY-014 | site_footer | behemoth-labz | https://behemothlabz.com/ | 2026-05-06 | Vendor website footer "Follow Us" section verbatim links: Facebook https://www.facebook.com/behemothlabz/; Instagram https://www.instagram.com/behemothlabz/; TikTok https://www.tiktok.com/@behemothlabzofficial; X (Twitter) https://x.com/BHLabzOfficial; Discord https://discord.gg/2SQFjHgnMz. NO YouTube link in footer despite the vendor having reserved 2 YouTube channels. Coherent with the empty-channel finding in E-VY-013: vendor does not promote YouTube as a discovery surface. | high

