sku_id,vendor_slug,vendor_brand,vendor_tier,vendor_status,name,peptide_canonical,peptide_variant,dose_value,dose_unit,format,concentration,bottle_size,list_price_usd,sale_price_usd,sale_observed_at,per_mg_price_usd,volume_tier_label,bundle_membership,crypto_discount_pct,subscription_price_usd,out_of_stock,url,raw_artifact,evidence_entry_id
aavant-research:tirzepatide-30mg,aavant-research,Aavant Research,2,failed,Tirzepatide 30mg,Tirzepatide,other,30,mg,vial,uncertain,uncertain,,,,,uncertain,[],,,uncertain,uncertain,03_raw_fetches/aavant-research/finnrick_tirzepatide.md,claim-1
aavant-research:tirzepatide-50mg,aavant-research,Aavant Research,2,failed,Tirzepatide 50mg,Tirzepatide,other,50,mg,vial,uncertain,uncertain,,,,,uncertain,[],,,uncertain,uncertain,03_raw_fetches/aavant-research/finnrick_tirzepatide.md,claim-2
aavant-research:tirzepatide-60mg,aavant-research,Aavant Research,2,failed,Tirzepatide 60mg,Tirzepatide,other,60,mg,vial,uncertain,uncertain,,,,,uncertain,[],,,uncertain,uncertain,03_raw_fetches/aavant-research/finnrick_tirzepatide.md,claim-3
aavant-research:tirzepatide-15mg,aavant-research,Aavant Research,2,failed,Tirzepatide 15mg,Tirzepatide,other,15,mg,vial,uncertain,uncertain,,,,,uncertain,[],,,uncertain,uncertain,03_raw_fetches/aavant-research/finnrick_tirzepatide.md,claim-4
aavant-research:tirzepatide-25mg,aavant-research,Aavant Research,2,failed,Tirzepatide 25mg,Tirzepatide,other,25,mg,vial,uncertain,uncertain,,,,,uncertain,[],,,uncertain,uncertain,03_raw_fetches/aavant-research/finnrick_tirzepatide.md,claim-5
aavant-research:retatrutide-11mg,aavant-research,Aavant Research,2,failed,Retatrutide 11mg,Retatrutide,other,11,mg,vial,uncertain,uncertain,,,,,uncertain,[],,,uncertain,uncertain,03_raw_fetches/aavant-research/finnrick_retatrutide.md,claim-6
aavant-research:retatrutide-12mg,aavant-research,Aavant Research,2,failed,Retatrutide 12mg,Retatrutide,other,12,mg,vial,uncertain,uncertain,,,,,uncertain,[],,,uncertain,uncertain,03_raw_fetches/aavant-research/finnrick_retatrutide.md,claim-7
aavant-research:retatrutide-24mg,aavant-research,Aavant Research,2,failed,Retatrutide 24mg,Retatrutide,other,24,mg,vial,uncertain,uncertain,,,,,uncertain,[],,,uncertain,uncertain,03_raw_fetches/aavant-research/finnrick_retatrutide.md,claim-8
accelaminos:bpc-157-10mg,accelaminos,Accelaminos,3,ok,BPC-157 10mg,BPC-157,acetate,10,mg,vial,lyophilized powder,10mg vial,46.0,,,4.6,1-pack,[],0,,false,https://accelaminos.com/product/bpc-157-10mg/,03_raw_fetches/accelaminos/product_1__bpc-157-10mg.md,claim-5
accelaminos:ghk-cu-100mg,accelaminos,Accelaminos,3,ok,GHK-Cu 100mg,GHK-Cu,,100,mg,vial,lyophilized powder,100mg vial,52.0,,,0.52,1-pack,[],0,,uncertain,https://accelaminos.com/product/ghk-cu-100mg/,03_raw_fetches/accelaminos/catalog_1.md,claim-6
accelaminos:glp2-tz,accelaminos,Accelaminos,3,ok,GLP2-TZ (Tirzepatide),Tirzepatide,,30,mg,vial,lyophilized powder,30mg or 60mg vial,105.0,,,3.5,1-pack,[],0,,false,https://accelaminos.com/product/glp2-tz/,03_raw_fetches/accelaminos/product_2__glp2-tz.md,claim-7
accelaminos:glp3-rt,accelaminos,Accelaminos,3,ok,GLP3-RT (Retatrutide),Retatrutide,,10,mg,vial,lyophilized powder,"10mg, 35mg, or 50mg vial",79.0,,,7.9,1-pack,[],0,,false,https://accelaminos.com/product/glp3-rt/,03_raw_fetches/accelaminos/product_3__glp3-rt.md,claim-8
accelaminos:mots-c-10mg,accelaminos,Accelaminos,3,ok,MOTS-c 10mg,MOTS-c,,10,mg,vial,lyophilized powder,10mg vial,44.0,,,4.4,1-pack,[],0,,false,https://accelaminos.com/product/mots-c-10mg/,03_raw_fetches/accelaminos/catalog_1.md,claim-9
accelaminos:na-semax-10mg,accelaminos,Accelaminos,3,ok,NA Semax 10mg,Semax,nasal_spray,10,mg,vial,lyophilized powder,10mg vial,39.0,,,3.9,1-pack,[],0,,false,https://accelaminos.com/product/na-semax-10mg/,03_raw_fetches/accelaminos/catalog_1.md,claim-10
accelaminos:tesamorelin-10mg,accelaminos,Accelaminos,3,ok,Tesamorelin 10mg,other,,10,mg,vial,lyophilized powder,10mg vial,65.0,,,6.5,1-pack,[],0,,false,https://accelaminos.com/product/tesamorelin-10mg/,03_raw_fetches/accelaminos/catalog_1.md,claim-11
accelaminos:nad-500mg,accelaminos,Accelaminos,3,ok,NAD+ 500mg,other,,500,mg,vial,lyophilized powder,500mg vial,55.0,,,0.11,1-pack,[],0,,false,https://accelaminos.com/product/nad-500mg/,03_raw_fetches/accelaminos/catalog_1.md,claim-12
accelaminos:kpv-10mg,accelaminos,Accelaminos,3,ok,KPV 10mg,KPV,,10,mg,vial,lyophilized powder,10mg vial,46.0,,,4.6,1-pack,[],0,,false,https://accelaminos.com/product/kpv-10mg/,03_raw_fetches/accelaminos/catalog_2.md,claim-13
accelerate-labs:al1-s-5mg,accelerate-labs,Accelerate Labs,3,ok,AL1-(S) 5MG,Semaglutide,acetate,5,mg,vial,,,149.99,,,29.998,,[],0,,uncertain,https://accelerate-labs.us/product/al1-s-5mg/,03_raw_fetches/accelerate-labs/catalog_1.md,claim-skus
accelerate-labs:al1-s-10mg,accelerate-labs,Accelerate Labs,3,ok,AL1-(S) 10MG,Semaglutide,acetate,10,mg,vial,,,250.0,,,25.0,,[],0,,uncertain,https://accelerate-labs.us/product/al1-s-10mg/,03_raw_fetches/accelerate-labs/catalog_1.md,claim-skus
accelerate-labs:al2-t-10mg,accelerate-labs,Accelerate Labs,3,ok,AL2-(T) 10MG,Tirzepatide,acetate,10,mg,vial,,,265.0,,,26.5,,[],0,,uncertain,https://accelerate-labs.us/product/al2-t-10mg/,03_raw_fetches/accelerate-labs/catalog_1.md,claim-skus
